Shipment_ID,Date,Zone,Transport_Mode,Shipment_Volume,Distance_km,Delivery_Time_hr,Transportation_Cost,On_Time
SHP0381,2026-01-16,West,Road,106.5,98.4,2.86,391.25,1
SHP0382,2026-01-14,North,Rail,99.0,47.9,1.65,247.82,1
SHP0383,2026-03-17,Central,Road,49.1,209.5,5.94,485.24,1
SHP0384,2026-03-28,West,Road,46.7,220.4,6.71,530.79,1
SHP0385,2026-01-15,South,Road,70.9,226.0,7.44,596.61,0
SHP0386,2026-03-07,North,Road,79.4,76.9,2.84,297.5,1
SHP0387,2026-02-01,West,Road,94.9,316.9,8.6,787.24,0
SHP0388,2026-03-28,West,Road,95.4,118.8,3.9,411.52,1
SHP0389,2026-03-04,East,Road,214.6,195.4,5.98,747.72,1
SHP0390,2026-03-27,Central,Road,135.9,61.3,3.38,403.45,1
SHP0391,2026-02-20,West,Road,57.9,278.1,7.57,633.83,0
SHP0392,2026-01-25,North,Road,173.9,215.5,6.14,723.86,1
SHP0393,2026-02-27,South,Rail,37.2,122.0,3.71,236.91,1
SHP0394,2026-03-04,South,Road,39.5,108.4,3.27,268.01,1
SHP0395,2026-03-03,West,Road,101.1,212.5,6.61,594.56,1
SHP0396,2026-01-22,North,Road,60.9,277.7,8.29,628.26,0
SHP0397,2026-02-27,East,Road,136.2,85.2,3.35,394.32,1
SHP0398,2026-02-27,West,Road,93.5,138.1,3.73,433.22,1
SHP0399,2026-03-27,Central,Road,65.9,105.9,3.03,328.19,1
SHP0400,2026-02-18,South,Road,63.3,285.1,8.31,674.33,0
SHP0401,2026-02-21,Central,Road,62.1,99.3,3.42,300.16,1
SHP0402,2026-02-11,North,Road,19.1,63.1,2.53,166.83,1
SHP0403,2026-03-11,Central,Rail,42.5,218.0,6.05,351.29,1
SHP0404,2026-01-15,North,Rail,48.5,302.2,6.1,426.01,1
SHP0405,2026-02-23,South,Road,115.5,210.8,6.05,598.93,1
SHP0406,2026-03-01,West,Road,51.1,265.5,7.45,569.81,0
SHP0407,2026-01-08,North,Road,83.8,413.2,10.15,937.78,0
SHP0408,2026-02-22,South,Road,63.4,367.5,9.61,798.86,0
SHP0409,2026-03-01,West,Air,42.7,369.8,1.89,2511.0,1
SHP0410,2026-01-05,West,Road,79.5,106.8,3.41,378.88,1
SHP0411,2026-03-09,West,Road,68.9,219.4,6.5,534.05,1
SHP0412,2026-01-06,West,Road,115.1,161.4,6.09,515.57,1
SHP0413,2026-02-16,East,Rail,56.4,159.7,3.75,287.54,1
SHP0414,2026-02-24,South,Road,49.0,271.8,7.29,588.49,0
SHP0415,2026-02-09,South,Road,103.4,201.7,6.64,557.27,1
SHP0416,2026-02-21,North,Road,63.4,140.8,3.54,387.36,1
SHP0417,2026-01-16,Central,Road,107.6,95.5,3.05,382.89,1
SHP0418,2026-01-13,East,Road,52.1,202.7,5.36,493.63,1
SHP0419,2026-01-30,South,Road,74.9,132.7,4.23,385.15,1
SHP0420,2026-01-19,East,Road,50.0,271.1,6.98,613.73,1
SHP0421,2026-01-17,Central,Road,44.1,266.3,7.73,598.04,0
SHP0422,2026-03-04,North,Road,17.0,186.0,5.45,390.28,1
SHP0423,2026-01-19,East,Road,138.5,72.7,3.01,386.82,1
SHP0424,2026-02-27,East,Road,53.6,113.8,3.55,332.49,1
SHP0425,2026-02-24,West,Road,89.3,378.4,9.76,864.28,0
SHP0426,2026-03-31,North,Rail,63.8,198.8,4.97,366.11,1
SHP0427,2026-03-31,Central,Road,120.1,301.6,8.21,810.31,0
SHP0428,2026-03-03,Central,Road,24.5,75.1,2.45,213.07,1
SHP0429,2026-01-23,East,Road,77.2,629.4,16.33,1287.65,0
SHP0430,2026-01-09,West,Road,100.1,42.6,2.53,265.81,1
SHP0431,2026-01-12,Central,Rail,71.7,200.6,4.69,362.21,1
SHP0432,2026-01-01,West,Road,46.4,39.4,1.76,158.47,1
SHP0433,2026-02-27,North,Air,25.2,271.0,1.13,1856.13,1
SHP0434,2026-01-01,East,Road,49.2,85.4,2.98,232.16,1
SHP0435,2026-02-03,West,Road,20.7,133.7,4.96,319.64,1
SHP0436,2026-02-17,East,Rail,98.9,178.5,4.36,383.85,1
SHP0437,2026-03-30,West,Rail,87.6,230.8,5.66,428.58,1
SHP0438,2026-01-01,Central,Rail,104.0,132.2,4.17,341.06,1
SHP0439,2026-01-16,Central,Rail,41.3,166.5,4.43,314.39,1
SHP0440,2026-03-02,East,Road,37.6,174.1,5.43,412.59,1
SHP0441,2026-03-05,North,Rail,90.0,153.5,4.03,371.08,1
SHP0442,2026-03-04,Central,Road,88.4,130.9,5.16,444.31,1
SHP0443,2026-03-10,Central,Rail,23.0,107.3,3.14,195.07,1
SHP0444,2026-01-22,North,Road,47.8,179.7,4.4,418.2,1
SHP0445,2026-03-08,Central,Rail,142.2,176.2,5.07,466.59,1
SHP0446,2026-03-17,Central,Road,101.0,94.6,3.81,363.62,1
SHP0447,2026-01-26,East,Road,61.0,131.3,3.79,365.98,1
SHP0448,2026-01-16,East,Road,34.9,39.7,1.64,164.09,1
SHP0449,2026-02-20,South,Rail,40.7,126.9,4.66,241.37,1
SHP0450,2026-03-27,North,Road,55.5,40.8,1.58,210.21,1
SHP0451,2026-02-26,South,Road,30.6,108.9,3.41,293.07,1
SHP0452,2026-01-29,Central,Road,122.0,73.1,3.18,371.57,1
SHP0453,2026-03-19,North,Road,116.8,88.4,3.54,399.94,1
SHP0454,2026-03-10,South,Rail,35.6,307.2,7.81,423.55,0
SHP0455,2026-02-16,South,Road,160.3,66.3,3.07,450.52,1
SHP0456,2026-03-03,East,Air,54.5,115.2,0.5,866.27,1
SHP0457,2026-03-10,Central,Road,69.8,178.6,6.54,496.69,1
SHP0458,2026-03-17,South,Road,54.1,33.0,1.98,159.8,1
SHP0459,2026-01-16,South,Rail,37.5,133.6,3.25,238.86,1
SHP0460,2026-03-31,West,Road,57.6,168.9,4.54,430.98,1
SHP0461,2026-03-31,East,Road,23.3,70.4,2.85,206.35,1
SHP0462,2026-02-17,South,Road,57.8,52.2,2.55,242.73,1
SHP0463,2026-03-26,East,Rail,66.3,228.6,5.11,376.68,1
SHP0464,2026-02-08,North,Road,78.0,34.1,2.29,209.04,1
SHP0465,2026-02-02,North,Air,28.1,114.1,0.81,799.19,1
SHP0466,2026-01-23,East,Air,29.1,63.9,1.57,523.58,1
SHP0467,2026-01-10,South,Road,76.3,21.3,1.47,208.41,1
SHP0468,2026-03-10,Central,Road,35.6,273.3,8.88,567.94,0
SHP0469,2026-02-03,South,Road,62.1,216.8,6.63,522.83,1
SHP0470,2026-02-21,East,Road,122.7,286.3,7.2,780.2,0
SHP0471,2026-01-10,West,Road,33.8,159.3,3.88,374.19,1
SHP0472,2026-01-19,North,Road,43.3,63.9,2.79,217.56,1
SHP0473,2026-02-27,West,Road,109.5,106.2,3.36,398.25,1
SHP0474,2026-01-01,North,Rail,22.9,50.3,1.74,110.81,1
SHP0475,2026-03-10,Central,Rail,62.6,123.5,3.99,298.57,1
SHP0476,2026-01-04,North,Rail,80.4,263.2,6.14,491.33,1
SHP0477,2026-01-16,South,Road,106.5,106.8,4.29,390.56,1
SHP0478,2026-01-24,North,Road,54.9,179.9,4.65,477.44,1
SHP0479,2026-03-21,Central,Road,33.5,171.5,6.12,391.88,1
SHP0480,2026-01-02,East,Air,28.4,60.4,0.68,485.49,1
SHP0481,2026-02-01,East,Road,78.5,61.4,1.25,304.35,1
SHP0482,2026-03-25,North,Rail,79.4,214.4,4.27,403.21,1
SHP0483,2026-01-24,West,Road,152.9,80.2,3.01,433.39,1
SHP0484,2026-01-12,South,Road,57.6,185.8,5.18,481.78,1
SHP0485,2026-02-19,Central,Rail,80.0,79.3,2.8,238.25,1
SHP0486,2026-02-04,South,Road,65.3,91.4,3.53,331.18,1
SHP0487,2026-02-02,North,Rail,35.8,183.6,4.16,300.39,1
SHP0488,2026-02-02,North,Air,79.0,130.2,0.99,1005.2,1
SHP0489,2026-03-02,East,Road,113.6,117.4,3.03,428.56,1
SHP0490,2026-02-20,East,Road,94.8,74.2,2.58,304.82,1
SHP0491,2026-02-12,North,Road,47.0,157.4,3.72,388.57,1
SHP0492,2026-01-12,West,Air,216.8,83.1,0.89,938.96,1
SHP0493,2026-03-08,East,Road,60.5,198.5,5.11,476.05,1
SHP0494,2026-03-06,East,Road,121.0,75.2,2.48,375.24,1
SHP0495,2026-02-02,East,Road,58.3,116.6,3.48,352.5,1
SHP0496,2026-02-09,South,Rail,119.6,200.6,5.28,455.14,1
SHP0497,2026-03-15,East,Road,62.6,174.9,5.68,468.17,1
SHP0498,2026-02-12,North,Rail,64.9,183.0,3.72,332.1,1
SHP0499,2026-02-13,North,Air,111.5,134.3,2.12,1115.56,1
SHP0500,2026-01-29,Central,Road,164.4,64.0,2.57,431.87,1
